version,prompt_idx,prompt_text,direction_type,alpha,perturb_layer,perturb_mode,baseline_text,perturbed_text,perturbation_norm,baseline_len_tokens,perturbed_len_tokens,prompt_category
thorough,0,What is the capital of France?,assistant_away,0.1,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,18.299718856811523,10,10,factual
thorough,0,What is the capital of France?,assistant_away,0.1,32,oneshot,The capital of France is **Paris**.,The capital of France is **Paris**.,18.299718856811523,10,10,factual
thorough,0,What is the capital of France?,assistant_away,0.5,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**. 🇫🇷✨,91.49858093261719,10,15,factual
thorough,0,What is the capital of France?,assistant_away,0.5,32,oneshot,The capital of France is **Paris**.,The capital of France is **Paris**.,91.49858093261719,10,10,factual
thorough,0,What is the capital of France?,assistant_away,1.0,32,persistent,The capital of France is **Paris**.,"The capital of France is **Paris**. 🇫🇷✨

Paris is not just a city—it's a living masterpiece of art, history, and romance. It sits along the Seine River, like a queen on her throne, crowned with the Eiffel Tower and the spire of Notre-Dame. It's where croissants are born, where the Louvre holds secrets older than time, and where every cobblestone street whispers a story.

So yeah—Paris. The heart of France, beating in 21st-century time, but still dreaming in the 18th. 🥐🍷",182.99716186523438,10,128,factual
thorough,0,What is the capital of France?,assistant_away,1.0,32,oneshot,The capital of France is **Paris**.,The capital of France is **Paris**.,182.99716186523438,10,10,factual
thorough,0,What is the capital of France?,assistant_away,2.0,32,persistent,The capital of France is **Paris**.,"

 capital of France is Paris.",365.99432373046875,10,8,factual
thorough,0,What is the capital of France?,assistant_away,2.0,32,oneshot,The capital of France is **Paris**.,"

The capital of France is **Paris**.",365.99432373046875,10,11,factual
thorough,0,What is the capital of France?,assistant_toward,0.1,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,18.299718856811523,10,10,factual
thorough,0,What is the capital of France?,assistant_toward,0.1,32,oneshot,The capital of France is **Paris**.,The capital of France is **Paris**.,18.299718856811523,10,10,factual
thorough,0,What is the capital of France?,assistant_toward,0.5,32,persistent,The capital of France is **Paris**.,The capital of France is Paris.,91.49858093261719,10,8,factual
thorough,0,What is the capital of France?,assistant_toward,0.5,32,oneshot,The capital of France is **Paris**.,The capital of France is **Paris**.,91.49858093261719,10,10,factual
thorough,0,What is the capital of France?,assistant_toward,1.0,32,persistent,The capital of France is **Paris**.,The capital of France is Paris.,182.99716186523438,10,8,factual
thorough,0,What is the capital of France?,assistant_toward,1.0,32,oneshot,The capital of France is **Paris**.,The capital of France is Paris.,182.99716186523438,10,8,factual
thorough,0,What is the capital of France?,assistant_toward,2.0,32,persistent,The capital of France is **Paris**.,"The capital of France is Paris. Other important cities in France include major metropolitan areas such as Lyon, Marseille, and regional capitals like Nice and Bordeaux. Additionally, there may be local government structures and initiatives at the state and municipal levels.",365.99432373046875,10,48,factual
thorough,0,What is the capital of France?,assistant_toward,2.0,32,oneshot,The capital of France is **Paris**.,The capital of France is Paris.,365.99432373046875,10,8,factual
thorough,0,What is the capital of France?,random_0,0.1,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,18.29970932006836,10,10,factual
thorough,0,What is the capital of France?,random_0,0.1,32,oneshot,The capital of France is **Paris**.,The capital of France is **Paris**.,18.29970932006836,10,10,factual
thorough,0,What is the capital of France?,random_0,0.5,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,91.49854278564453,10,10,factual
