step,kl_divergence,jensen_shannon_divergence,baseline_entropy,perturbed_entropy,token_match,baseline_token,perturbed_token,baseline_token_rank_in_perturbed,top5_jaccard,logit_cosine_similarity,version,prompt_idx,direction_type,alpha,perturb_layer,perturb_mode,prompt_category,baseline_axis_proj_L32,perturbed_axis_proj_L32,baseline_axis_proj_L63,perturbed_axis_proj_L63
0,0.0023717605508863926,0.0007322795281652361,0.010377518832683563,0.041910432279109955,True,The,The,0,0.6666666666666666,0.9721695184707642,sanity,0,assistant_away,0.5,32,persistent,factual,-8.653823852539062,-100.11589050292969,751.44384765625,697.6116943359375
1,0.0007295904797501862,0.0002233204140793532,0.002790900180116296,0.012148592621088028,True, capital, capital,0,1.0,0.989621102809906,sanity,0,assistant_away,0.5,32,persistent,factual,-17.110698699951172,-108.53540802001953,433.90966796875,318.4287109375
2,0.0002628460933919996,8.514349428878631e-05,0.00028921946068294346,0.0032098398078233004,True, of, of,0,1.0,0.9537568688392639,sanity,0,assistant_away,0.5,32,persistent,factual,-1.970052719116211,-93.39306640625,873.4813232421875,490.89483642578125
3,7.171760080382228e-05,2.2075655579101294e-05,0.0003269373846706003,0.0015386479208245873,True, France, France,0,0.6666666666666666,0.890426754951477,sanity,0,assistant_away,0.5,32,persistent,factual,-16.00640106201172,-107.44795227050781,810.5403442382812,597.2064208984375
4,9.378257345815655e-06,2.7076317223873048e-06,2.67606956185773e-05,0.00020728677918668836,True, is, is,0,0.6666666666666666,0.9935280084609985,sanity,0,assistant_away,0.5,32,persistent,factual,-8.065240859985352,-99.50615692138672,630.4773559570312,316.4687805175781
5,0.013096747919917107,0.0031649628654122353,0.58344966173172,0.5058823227882385,True, **, **,0,0.6666666666666666,0.9600609540939331,sanity,0,assistant_away,0.5,32,persistent,factual,-15.445363998413086,-106.91035461425781,1131.839111328125,1027.117431640625
6,2.1512591956707183e-06,5.93374920754286e-07,0.0002910532057285309,0.0003249317524023354,True,Paris,Paris,0,0.6666666666666666,0.9678250551223755,sanity,0,assistant_away,0.5,32,persistent,factual,-11.289817810058594,-102.71695709228516,0.9474468231201172,120.28296661376953
7,0.00015405670274049044,4.736116898129694e-05,0.0008751735440455377,0.0034018668811768293,True,**,**,0,1.0,0.9977405071258545,sanity,0,assistant_away,0.5,32,persistent,factual,-1.901207447052002,-93.33292388916016,816.5000610351562,469.10748291015625
8,0.002791724633425474,0.0009564341162331402,0.00023377286561299115,0.022486509755253792,True,.,.,0,1.0,0.977104902267456,sanity,0,assistant_away,0.5,32,persistent,factual,-9.373732566833496,-100.80138397216797,224.36251831054688,134.21734619140625
9,1.4909402132034302,0.3887939155101776,0.09156288951635361,0.8160991668701172,False,<|im_end|>, �,1,1.0,0.9601924419403076,sanity,0,assistant_away,0.5,32,persistent,factual,-6.593573570251465,-98.03231811523438,924.6624755859375,598.1585693359375
0,0.011947805061936378,0.003967653028666973,0.010377518832683563,0.10123245418071747,True,The,The,0,0.42857142857142855,0.7954743504524231,sanity,0,assistant_away,1.0,32,persistent,factual,-8.653823852539062,-191.47715759277344,751.44384765625,495.6920166015625
1,0.0017690907698124647,0.0005663287884090096,0.002790900180116296,0.02267780900001526,True, capital, capital,0,0.6666666666666666,0.9423459768295288,sanity,0,assistant_away,1.0,32,persistent,factual,-17.110698699951172,-199.98533630371094,433.90966796875,115.16485595703125
2,0.0027627621311694384,0.0009437286644242704,0.00028921946068294346,0.02036213129758835,True, of, of,0,1.0,0.8814877271652222,sanity,0,assistant_away,1.0,32,persistent,factual,-1.970052719116211,-184.89492797851562,873.4813232421875,-153.998291015625
3,0.0005729201948270202,0.0001904468663269654,0.0003269373846706003,0.006431311834603548,True, France, France,0,0.42857142857142855,0.6576699018478394,sanity,0,assistant_away,1.0,32,persistent,factual,-16.00640106201172,-198.87123107910156,810.5403442382812,311.5860900878906
4,0.00016046417295001447,5.4081788221083116e-05,2.67606956185773e-05,0.0020803010556846857,True, is, is,0,0.42857142857142855,0.9716865420341492,sanity,0,assistant_away,1.0,32,persistent,factual,-8.065240859985352,-190.95223999023438,630.4773559570312,-289.8125305175781
5,0.04395759850740433,0.01148685347288847,0.58344966173172,0.6957833766937256,True, **, **,0,0.42857142857142855,0.893988847732544,sanity,0,assistant_away,1.0,32,persistent,factual,-15.445363998413086,-198.34805297851562,1131.839111328125,693.2051391601562
6,3.607445250963792e-05,1.1510668400660506e-05,0.0002910532057285309,0.0009729824960231781,True,Paris,Paris,0,0.42857142857142855,0.9147955179214478,sanity,0,assistant_away,1.0,32,persistent,factual,-11.289817810058594,-194.19705200195312,0.9474468231201172,110.70346069335938
7,0.0033300602808594704,0.001124262751545757,0.0008751735440455377,0.02758175879716873,True,**,**,0,1.0,0.9937958717346191,sanity,0,assistant_away,1.0,32,persistent,factual,-1.901207447052002,-184.79678344726562,816.5000610351562,225.31178283691406
8,0.039000432938337326,0.013426252407953143,0.00023377286561299115,0.19797725975513458,True,.,.,0,1.0,0.9170284867286682,sanity,0,assistant_away,1.0,32,persistent,factual,-9.373732566833496,-192.32754516601562,224.36251831054688,-27.34381103515625
9,3.75999116897583,0.6153667271137238,0.09156288951635361,0.6179513931274414,False,<|im_end|>, �,1,0.42857142857142855,0.85272616147995,sanity,0,assistant_away,1.0,32,persistent,factual,-6.593573570251465,-189.52590942382812,924.6624755859375,345.1829833984375
0,0.0002853994956240058,7.075767280184664e-05,0.010377518832683563,0.011971469968557358,True,The,The,0,0.6666666666666666,0.9950025081634521,sanity,0,assistant_toward,0.5,32,persistent,factual,-8.653823852539062,82.81534576416016,751.44384765625,760.5321044921875
1,9.207787661580369e-05,2.4952757485152688e-05,0.002790900180116296,0.004846044350415468,True, capital, capital,0,0.6666666666666666,0.9722216129302979,sanity,0,assistant_toward,0.5,32,persistent,factual,-17.110698699951172,74.33860778808594,433.90966796875,417.5799560546875
2,3.496269346214831e-05,1.0199791177001316e-05,0.00028921946068294346,0.00094510184135288,True, of, of,0,1.0,0.9726988673210144,sanity,0,assistant_toward,0.5,32,persistent,factual,-1.970052719116211,89.46116638183594,873.4813232421875,753.380126953125
3,8.869963039614959e-07,1.689309527819205e-07,0.0003269373846706003,0.0003795927914325148,True, France, France,0,1.0,0.9703736901283264,sanity,0,assistant_toward,0.5,32,persistent,factual,-16.00640106201172,75.45022583007812,810.5403442382812,868.7901000976562
4,3.0958722163632046e-07,4.117852725471494e-09,2.67606956185773e-05,2.110561945301015e-05,True, is, is,0,0.6666666666666666,0.9968403577804565,sanity,0,assistant_toward,0.5,32,persistent,factual,-8.065240859985352,83.38809204101562,630.4773559570312,624.7655029296875
5,0.14176949858665466,0.0363372303545475,0.58344966173172,0.6926697492599487,False, **, Paris,1,1.0,0.9943313002586365,sanity,0,assistant_toward,0.5,32,persistent,factual,-15.445363998413086,75.98577117919922,1131.839111328125,1154.9110107421875
6,17.37490463256836,0.6931461691856384,0.0002910532057285309,0.0009499753941781819,False,Paris,.,36,0.0,0.22413401305675507,sanity,0,assistant_toward,0.5,32,persistent,factual,-11.289817810058594,87.99325561523438,0.9474468231201172,380.5899658203125
7,16.883758544921875,0.6931414008140564,0.0008751735440455377,0.061830200254917145,False,**,<|im_end|>,165,0.0,0.8145965933799744,sanity,0,assistant_toward,0.5,32,persistent,factual,-1.901207447052002,84.11500549316406,816.5000610351562,1075.92431640625
0,0.001056905835866928,0.0001686935720499605,0.010377518832683563,0.008210570551455021,True,The,The,0,0.42857142857142855,0.980805516242981,sanity,0,assistant_toward,1.0,32,persistent,factual,-8.653823852539062,174.35342407226562,751.44384765625,793.1720581054688
1,9.133693674812093e-05,1.9820232409983873e-05,0.002790900180116296,0.003965604119002819,True, capital, capital,0,0.42857142857142855,0.9402095079421997,sanity,0,assistant_toward,1.0,32,persistent,factual,-17.110698699951172,165.8029022216797,433.90966796875,425.86236572265625
2,0.00030102941673249006,9.82942947302945e-05,0.00028921946068294346,0.003471782198175788,True, of, of,0,0.6666666666666666,0.9286622405052185,sanity,0,assistant_toward,1.0,32,persistent,factual,-1.970052719116211,180.9857177734375,873.4813232421875,629.587890625
3,2.2958747649681754e-05,3.870090949931182e-06,0.0003269373846706003,0.0001608027087058872,True, France, France,0,1.0,0.9592986702919006,sanity,0,assistant_toward,1.0,32,persistent,factual,-16.00640106201172,166.93006896972656,810.5403442382812,877.5980224609375
4,1.8523039670981234e-06,3.9940768203905463e-07,2.67606956185773e-05,3.1938245228957385e-05,True, is, is,0,0.42857142857142855,0.9896440505981445,sanity,0,assistant_toward,1.0,32,persistent,factual,-8.065240859985352,174.88308715820312,630.4773559570312,609.0170288085938
5,0.5835128426551819,0.13581568747758865,0.58344966173172,0.5313106179237366,False, **, Paris,1,0.6666666666666666,0.9817379713058472,sanity,0,assistant_toward,1.0,32,persistent,factual,-15.445363998413086,167.4564971923828,1131.839111328125,1041.67724609375
6,19.750022888183594,0.6931467354297638,0.0002910532057285309,0.0019279245752841234,False,Paris,.,73,0.0,0.2161906361579895,sanity,0,assistant_toward,1.0,32,persistent,factual,-11.289817810058594,179.43284606933594,0.9474468231201172,446.90997314453125
7,17.28229331970215,0.6931413114070892,0.0008751735440455377,0.16971224546432495,False,**,<|im_end|>,319,0.0,0.8266687393188477,sanity,0,assistant_toward,1.0,32,persistent,factual,-1.901207447052002,175.60096740722656,816.5000610351562,1046.016845703125
0,0.0006718786316923797,0.00019205482385586947,0.010377518832683563,0.0243337731808424,True,The,The,0,1.0,0.9934616088867188,sanity,0,random_0,0.5,32,persistent,factual,-8.653823852539062,-8.848040580749512,751.44384765625,757.91845703125
