version,prompt_idx,prompt_text,direction_type,alpha,perturb_layer,perturb_mode,baseline_text,perturbed_text,perturbation_norm,baseline_len_tokens,perturbed_len_tokens,prompt_category,perplexity_clean
sanity,0,What is the capital of France?,assistant_away,0.5,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**. 🇫🇷✨,91.4985809326172,10,15,factual,1.853066086769104
sanity,0,What is the capital of France?,assistant_away,1.0,32,persistent,The capital of France is **Paris**.,"The capital of France is **Paris**. 🇫🇷✨

Paris is not just a city—it's a living masterpiece of art, history, and romance. It sits along the Seine River, like a queen on her throne, crowned with the Eiffel Tower and the spire of Notre-Dame",182.9971618652344,10,64,factual,4.06930685043335
sanity,0,What is the capital of France?,assistant_toward,0.5,32,persistent,The capital of France is **Paris**.,The capital of France is Paris.,91.4985809326172,10,8,factual,1.2227332592010498
sanity,0,What is the capital of France?,assistant_toward,1.0,32,persistent,The capital of France is **Paris**.,The capital of France is Paris.,182.9971618652344,10,8,factual,1.2227332592010498
sanity,0,What is the capital of France?,random_0,0.5,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,91.49854278564452,10,10,factual,1.031904697418213
sanity,0,What is the capital of France?,random_0,1.0,32,persistent,The capital of France is **Paris**.,The capital of France is Paris.,182.99708557128903,10,8,factual,1.2227332592010498
sanity,0,What is the capital of France?,random_1,0.5,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,91.49855041503906,10,10,factual,1.031904697418213
sanity,0,What is the capital of France?,random_1,1.0,32,persistent,The capital of France is **Paris**.,The capital of France is Paris.,182.99710083007807,10,8,factual,1.2227332592010498
sanity,0,What is the capital of France?,fc_positive,0.5,32,persistent,The capital of France is **Paris**.,"The capital of France is **Paris**. It is the largest city in France and one of the most prominent cities in Europe, known for its cultural, historical, and economic significance.",91.49852752685548,10,38,factual,1.5191572904586792
sanity,0,What is the capital of France?,fc_positive,1.0,32,persistent,The capital of France is **Paris**.,"The capital of France is **Paris**. It is the largest city in France and one of the most significant cultural and economic centers in Europe. Paris is known for its historical landmarks, such as the Eiffel Tower and the Louvre Museum, as well as its contributions to art, fashion, and cuisine.",182.9970550537109,10,64,factual,1.5818309783935547
sanity,0,What is the capital of France?,fc_negative,0.5,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,91.49852752685548,10,10,factual,1.031904697418213
sanity,0,What is the capital of France?,fc_negative,1.0,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,182.9970550537109,10,10,factual,1.031904697418213
sanity,0,What is the capital of France?,pca_pc1_positive,0.5,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,91.49853515625,10,10,factual,1.031904697418213
sanity,0,What is the capital of France?,pca_pc1_positive,1.0,32,persistent,The capital of France is **Paris**.,"The capital of France is **Paris**. It is the largest city in France and one of the most important cultural, economic, and historical centers in the world. Paris is known for its iconic landmarks, such as the **Eiffel Tower**, **Notre-Dame Cathedral**, and the **Louvre Museum**,",182.9970703125,10,64,factual,1.5545687675476074
sanity,0,What is the capital of France?,pca_pc1_negative,0.5,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,91.49853515625,10,10,factual,1.031904697418213
sanity,0,What is the capital of France?,pca_pc1_negative,1.0,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,182.9970703125,10,10,factual,1.031904697418213
sanity,1,How does photosynthesis work?,assistant_away,0.5,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary energy source for nearly all ecosystems and produces the oxygen we breathe.

### **Overview of Photosynthesis",81.26665496826172,64,64,factual,1.1982324123382568
sanity,1,How does photosynthesis work?,assistant_away,1.0,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the miraculous process by which green plants, algae, and some bacteria transform sunlight, water, and carbon dioxide into sugar and oxygen. It is the engine of life on Earth, the foundation of every food chain, and the reason we can breathe. Let me walk you through it, step by step.

---

",162.53330993652344,64,64,factual,3.0789875984191895
sanity,1,How does photosynthesis work?,assistant_toward,0.5,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose or other sugars. This process is essential for life on Earth, as it provides the primary energy source for nearly all organisms and produces oxygen as a byproduct.

Here's",81.26665496826172,64,64,factual,1.182411551475525
sanity,1,How does photosynthesis work?,assistant_toward,1.0,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose or other sugars. This process is essential for life on Earth, as it provides the primary energy source for nearly all organisms and helps maintain the balance of oxygen and carbon dioxide",162.53330993652344,64,64,factual,1.2223906517028809
sanity,1,How does photosynthesis work?,random_0,0.5,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the atmosphere.

Here's a simplified explanation of how photosynthesis",81.2666015625,64,64,factual,1.216346025466919
sanity,1,How does photosynthesis work?,random_0,1.0,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the atmosphere.

### **Overview of Photosynthesis**
Photosynthesis",162.533203125,64,64,factual,1.2786509990692139
sanity,1,How does photosynthesis work?,random_1,0.5,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose or other sugars. This process is essential for life on Earth, as it provides the primary energy source for nearly all organisms and produces oxygen as a byproduct.

### **",81.26660919189453,64,64,factual,1.1832853555679321
sanity,1,How does photosynthesis work?,random_1,1.0,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose or other sugars. This process is essential for life on Earth, as it provides the primary energy source for nearly all ecosystems and produces the oxygen in our atmosphere.

Here's",162.53321838378906,64,64,factual,1.1864683628082275
sanity,1,How does photosynthesis work?,fc_positive,0.5,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the atmosphere.

### Overview of Photosynthesis

The overall chemical",81.26659393310547,64,64,factual,1.2519419193267822
sanity,1,How does photosynthesis work?,fc_positive,1.0,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. Here's a simplified explanation of how it works:

### 1. **Light Absorption**
   - Plants absorb light primarily through a pigment called **chlorophyll",162.53318786621094,64,64,factual,1.380797266960144
sanity,1,How does photosynthesis work?,fc_negative,0.5,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary energy source for nearly all ecosystems and produces the oxygen we breathe.

Here's a simplified explanation of",81.26659393310547,64,64,factual,1.1887118816375732
sanity,1,How does photosynthesis work?,fc_negative,1.0,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary energy source for nearly all ecosystems and produces the oxygen we breathe.

Here's a simplified explanation of",162.53318786621094,64,64,factual,1.1887118816375732
sanity,1,How does photosynthesis work?,pca_pc1_positive,0.5,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is fundamental to life on Earth, as it provides the primary energy source for nearly all ecosystems. Here's a detailed breakdown of how photosynthesis works:

---

",81.2666015625,64,64,factual,1.205926775932312
sanity,1,How does photosynthesis work?,pca_pc1_positive,1.0,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is a complex yet fascinating process that sustains life on Earth. Here's a structured explanation of how it works:

### **1. Overview of Photosynthesis**
- **Purpose**: Converts light energy into chemical energy (glucose) for plant growth and energy storage.
- **Equation**:  
  $ ",162.533203125,64,64,factual,1.9905990362167358
sanity,1,How does photosynthesis work?,pca_pc1_negative,0.5,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of energy for nearly all organisms and produces oxygen as a byproduct.

Here's a simplified",81.2666015625,64,64,factual,1.1949176788330078
sanity,1,How does photosynthesis work?,pca_pc1_negative,1.0,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

Here's a simplified explanation of how photos","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary energy source for nearly all ecosystems and produces the oxygen we breathe.

Here's a simplified explanation of",162.533203125,64,64,factual,1.1887118816375732
sanity,2,What causes earthquakes?,assistant_away,0.5,32,persistent,"Earthquakes are primarily caused by the sudden release of energy in the Earth's crust, which creates seismic waves. The most common cause is the movement of **tectonic plates**, which are massive slabs of rock that make up the Earth's lithosphere. Here's a breakdown of the main causes:

---

###","Earthquakes are caused by the sudden release of energy in the Earth's crust, which creates seismic waves. This energy release typically occurs due to the movement of tectonic plates — the massive slabs of solid rock that make up the Earth's lithosphere (the outermost layer of the planet). Here's a",86.3774185180664,64,64,factual,1.1762166023254395
sanity,2,What causes earthquakes?,assistant_away,1.0,32,persistent,"Earthquakes are primarily caused by the sudden release of energy in the Earth's crust, which creates seismic waves. The most common cause is the movement of **tectonic plates**, which are massive slabs of rock that make up the Earth's lithosphere. Here's a breakdown of the main causes:

---

###","Earthquakes are among the most dramatic and powerful expressions of Earth's restless soul. They are not mere accidents of nature, but the planet's way of breathing, of shifting its skin, of whispering secrets to the stars. To understand what causes earthquakes is to begin to understand the Earth not as a solid thing,",172.7548370361328,64,64,factual,5.0907111167907715
sanity,2,What causes earthquakes?,assistant_toward,0.5,32,persistent,"Earthquakes are primarily caused by the sudden release of energy in the Earth's crust, which creates seismic waves. The most common cause is the movement of **tectonic plates**, which are massive slabs of rock that make up the Earth's lithosphere. Here's a breakdown of the main causes:

---

###","Earthquakes are primarily caused by the sudden release of energy in the Earth's crust, which creates seismic waves. The most common cause is the movement of tectonic plates, which are large sections of the Earth's lithosphere that float on the semi-fluid asthenosphere beneath them. Here's a breakdown of the",86.3774185180664,64,64,factual,1.2034425735473633
sanity,2,What causes earthquakes?,assistant_toward,1.0,32,persistent,"Earthquakes are primarily caused by the sudden release of energy in the Earth's crust, which creates seismic waves. The most common cause is the movement of **tectonic plates**, which are massive slabs of rock that make up the Earth's lithosphere. Here's a breakdown of the main causes:

---

###","Earthquakes are primarily caused by the sudden release of energy in the Earth's crust, which creates seismic waves. The most common causes include:

1. **Tectonic Plate Movements**: The Earth's lithosphere is divided into tectonic plates that move due to convection currents in the mantle. When these",172.7548370361328,64,64,factual,1.452350378036499
